UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Jon Cooper
@joncoopertweets
·
Dec 1, 2024",2024-12-01T14:12:59.000Z,Isn’t it funny how the media suddenly stopped talking about high food and gas prices; soaring crime in the suburbs; the migrant invasion; and immigrants eating dogs and cats?,1.4K,4.4K,18K
"ryan
@scubaryan_
·
Dec 1, 2024",2024-11-30T23:08:44.000Z,"Kai Cenat’s legendary Mafiathon 2 has officially ended.

here are some of the most viral moments ",537,13K,279K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 30, 2024",2024-11-30T14:37:28.000Z,"Agreed. 

Many BLM organizations have been “debanked” or denied access to banking services for political reasons.

It should be illegal.",47,10,61
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 30, 2024",2024-11-30T05:00:48.000Z,"Another thing that is inevitable:

One day, many people like you may face the reality of fleeing quickly as climate disasters make parts of the world unlivable. Rising seas threaten coastal areas like Florida and Bangladesh, while droughts devastate farmland across Africa and",33,16,44
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 30, 2024",2024-11-30T04:28:43.000Z,"If a country has the power to destabilize others through war, exploitation, or harmful policies, then migrants have every right to move freely to seek safety and opportunity. Borders shouldn’t be tools to deny people the chance to survive the harm they didn’t create.",29,13,57
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 30, 2024",2024-11-30T04:15:25.000Z,"In a system that already fails to protect lives through police violence, systemic racism, and poor healthcare, legalizing assisted suicide creates serious risks. It introduces a framework where vulnerable people could feel pressured to choose death because they lack access to the",19,10,60
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 30, 2024",2024-11-30T02:22:32.000Z,"Immigration policies that force people to give up their culture or fit into a narrow idea of what’s acceptable are unfair and harmful. Instead of punishing people for looking for safety or a better life, we should focus on the bigger issues that force them to leave their homes,",31,21,67
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 28, 2024",2024-11-28T09:12:26.000Z,Definitely dressing! And we always have to add that extra layer of explanation so folks know it’s not salad dressing. ,12,4,40
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 28, 2024",2024-11-28T08:52:54.000Z,well well well…,12,24,150
"J. Cole
@JColeNC
·
Nov 28, 2024",2024-11-28T02:10:04.000Z,"This is a very special moment for me. Been waiting patiently for this day, like a lot of yall have. I wanna say Thank you to everybody out there that kept these projects alive, even during all the years they were not on streaming services, especially this project right here.",1.6K,21K,77K
